CountryCode,country,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,aged_65_older,age65
SAU,Saudi Arabia,15.32,31.9,49045.41,2.7,3.3,3.3
SDN,Sudan,23.26,19.7,4466.51,0.8,3.55,3.55
SEN,Senegal,82.33,18.7,2470.58,2.45,3.01,3.01
SGP,Singapore,7915.73,42.4,85535.38,2.4,12.92,12.92
SLB,Solomon Islands,21.84,20.8,2205.92,1.4,3.51,3.51
SLE,Sierra Leone,104.7,19.1,1390.3,2.45,2.54,2.54
SLV,El Salvador,307.81,27.6,7292.46,1.3,8.27,8.27
SMR,San Marino,556.67,29.6,56861.47,3.8,,
SOM,Somalia,23.5,16.8,12595.259999999998,0.9,2.73,2.73
SRB,Serbia,80.29,41.2,14048.88,5.61,17.37,17.37
SSD,South Sudan,87.32,19.2,1569.89,2.45,3.44,3.44
STP,Sao Tome and Principe,212.84,18.7,3052.71,2.9,2.89,2.89
SUR,Suriname,3.61,29.6,13767.12,3.1,6.93,6.93
SVK,Slovakia,113.13,41.2,30155.15,5.82,15.07,15.07
SVN,Slovenia,102.62,44.5,31400.84,4.5,19.06,19.06
SWE,Sweden,24.72,41.0,46949.28,2.22,19.98,19.98
SWZ,Eswatini,79.49,21.5,7738.98,2.1,3.16,3.16
SXM,Sint Maarten (Dutch part),1209.09,29.6,36327.23,2.45,,
SYC,Seychelles,208.35,36.2,26382.29,3.6,8.61,8.61
SYR,Syria,87.32,21.7,12595.259999999998,1.5,,
TCD,Chad,11.83,16.7,1768.15,2.45,2.49,2.49
TGO,Togo,143.37,19.4,1429.81,0.7,2.84,2.84
THA,Thailand,135.13,40.1,16277.67,2.1,11.37,11.37
TJK,Tajikistan,64.28,23.3,2896.91,4.8,3.47,3.47
TKM,Turkmenistan,12.25,26.9,16389.02,7.4,4.28,4.28
TLS,East Timor,87.18,18.0,6570.1,5.9,3.56,3.56
TON,Tonga,150.03,22.3,5425.62,2.6,5.82,5.82
TTO,Trinidad and Tobago,266.89,36.2,28763.07,3.0,10.01,10.01
TUN,Tunisia,74.23,32.7,10849.3,2.3,8.0,8.0
TUR,Turkey,104.91,31.6,25129.34,2.81,8.15,8.15
TUV,Tuvalu,373.07,29.6,3575.1,2.45,,
TZA,Tanzania,64.7,17.7,2683.3,0.7,3.11,3.11
UGA,Uganda,213.76,16.4,1697.71,0.5,2.17,2.17
UKR,Ukraine,77.39,41.4,7894.39,8.8,16.46,16.46
URY,Uruguay,19.75,35.6,20551.41,2.8,14.66,14.66
USA,United States,35.61,38.3,54225.45,2.77,15.41,15.41
UZB,Uzbekistan,76.13,28.2,6253.1,4.0,4.47,4.47
VCT,Saint Vincent and the Grenadines,281.79,31.8,10727.15,2.6,7.72,7.72
VEN,Venezuela,36.25,29.0,16745.02,0.8,6.61,6.61
VIR,United States Virgin Islands,306.48,42.2,12595.259999999998,2.45,18.6,18.6
VNM,Vietnam,308.13,32.6,6171.88,2.6,7.15,7.15
VUT,Vanuatu,22.66,23.1,2921.91,2.45,4.39,4.39
WSM,Samoa,69.41,22.0,6021.56,2.45,5.61,5.61
YEM,Yemen,53.51,20.3,1479.15,0.7,2.92,2.92
ZAF,South Africa,46.75,27.3,12294.88,2.32,5.34,5.34
ZMB,Zambia,23.0,17.7,3689.25,2.0,2.48,2.48
ZWE,Zimbabwe,42.73,19.6,1899.78,1.7,2.82,2.82
