template,mean_cumulative_cases,std,n_windows
gradual,1874.5224060668945,3291.3409888396604,1000
reactive_pulse,1879.2888982391357,3304.981985800384,1000
status_quo,1905.463056350708,3384.483356837131,1000
early_hard,1926.9193088989257,3434.1760630970302,1000
