cluster,winning_template,mean_effect_vs_baseline,ci_lower,ci_upper
0,gradual,-81.63677385193932,-114.6680736113431,-47.01450655793489
1,gradual,-3.567812631325296,-5.278836828592873,-1.8637797703643515
2,gradual,-58.75791900998047,-79.02160746378755,-33.93969034871031
3,gradual,-44.71120605468741,-44.71120605468741,-44.71120605468741
